Produto	Origem	Estoque
169	Chi	28908
170	Arg	11091
171	Arg	74609
172	Por	100684
173	Arg	11883
174	Por	55722
175	Chi	40458
176	Arg	42964
177	Arg	42101
178	Chi	53330
179	Arg	34526
180	Bra	68184
181	Por	133951
182	Arg	109964
183	Bra	8739
184	Arg	100819
185	Arg	36869
186	Por	64238
187	Chi	123461
188	Por	100108
189	Por	9343
190	Por	120659
191	Por	63040
192	Chi	52697
193	Por	36236
194	Arg	105812
195	Chi	129100
196	Bra	32639
197	Por	108476
198	Chi	83127
199	Chi	91750
200	Bra	124137
201	Bra	139390
202	Chi	131220
203	Chi	95760
204	Por	18061
205	Chi	16552
206	Por	44707
207	Arg	95797
208	Arg	111625
209	Bra	2694
210	Arg	80007
211	Bra	3418
212	Arg	117631
213	Bra	20553
214	Chi	88418
215	Chi	125522
216	Bra	92550
217	Por	40369
218	Arg	74966
219	Bra	9286
220	Bra	25015
221	Bra	77387
222	Bra	86194
223	Chi	22612
224	Arg	112483
225	Chi	111107
226	Por	8604
227	Por	19790
228	Chi	88198
229	Arg	16939
230	Arg	81571
231	Bra	94629
232	Por	129742
233	Arg	5332
234	Bra	57746
235	Chi	33980
236	Bra	41105
237	Por	126531
238	Arg	71766
239	Por	51866
240	Por	78988
241	Chi	28254
242	Chi	62190
243	Bra	105765
244	Bra	104369
245	Arg	52178
246	Chi	78064
247	Bra	97611
248	Bra	14913
249	Bra	86174
250	Arg	95728
251	Arg	95857
252	Arg	50785
253	Chi	76168
254	Chi	29868
255	Bra	2164
256	Arg	62873
257	Bra	56627
258	Arg	64439
259	Por	84753
260	Por	38434
261	Chi	128037
262	Arg	53249
263	Arg	106068
264	Por	101928
265	Bra	94512
266	Por	50002
267	Chi	96175
268	Por	35514
269	Bra	16160
270	Por	86957
271	Bra	75385
272	Chi	38200
273	Bra	138774
274	Arg	79169
275	Chi	114277
276	Chi	102847
277	Arg	91813
278	Chi	121362
279	Chi	56193
280	Bra	88907
281	Bra	4466
282	Por	91042
283	Bra	7405
284	Bra	62536
285	Chi	117784
286	Bra	78758
287	Bra	108960
288	Chi	115057
289	Bra	127922
290	Por	52385
291	Bra	62208
292	Chi	108449
293	Chi	69217
294	Bra	49852
295	Chi	40297
296	Arg	31463
297	Chi	79841
298	Chi	31938
299	Arg	13275
300	Bra	139296
301	Arg	28439
302	Chi	71483
303	Por	21490
304	Arg	137565
305	Por	100774
306	Chi	139564
307	Chi	1001
308	Arg	118603
309	Por	112968
310	Bra	29063
311	Arg	106353
312	Chi	46001
313	Arg	9287
314	Por	89958
315	Arg	107440
316	Arg	111587
317	Por	77818
318	Por	6209
319	Chi	14568
320	Chi	103299
321	Chi	26560
322	Por	74679
323	Chi	97
324	Por	133459
325	Por	5879
326	Por	82607
327	Por	24009
328	Arg	52357
329	Chi	1571
330	Chi	58135
331	Bra	13755
332	Arg	36628
333	Por	101032
334	Por	83785
335	Arg	31167
336	Bra	70901
337	Por	66546
338	Bra	73646
339	Bra	35629
340	Arg	104666
341	Chi	96679
342	Chi	105812
343	Chi	78272
344	Chi	68779
345	Bra	132262
346	Chi	45203
347	Chi	116574
348	Chi	30778
349	Por	119519
350	Bra	2871
351	Bra	119399
352	Chi	132378
353	Bra	54421
354	Arg	16765
355	Chi	78482
356	Por	66720
357	Por	60093
358	Arg	98774
359	Por	120494
360	Chi	118344
361	Por	67028
362	Arg	135823
363	Arg	77485
364	Bra	84684
365	Bra	39840
366	Bra	63957
367	Bra	21890
368	Bra	101986
369	Chi	114954
370	Arg	24599
371	Bra	38629
372	Por	22826
373	Arg	84596
374	Arg	12453
375	Arg	80697
376	Por	120530
377	Arg	32476
378	Chi	100861
379	Bra	18290
380	Chi	114041
381	Chi	102287
382	Bra	107634
383	Arg	112888
384	Arg	121040
385	Bra	118439
386	Arg	126684
387	Chi	115222
388	Chi	27841
389	Por	19993
390	Chi	72362
391	Por	88702
392	Por	34133
393	Por	4896
394	Chi	53398
395	Arg	64534
396	Chi	136472
397	Bra	112116
398	Arg	11556
399	Por	37075
400	Bra	26853
401	Por	55717
402	Por	62659
403	Chi	17958
404	Chi	72509
405	Por	75505
406	Bra	130462
407	Arg	122937
408	Arg	4555
409	Arg	48789
410	Bra	105165
411	Bra	121078
412	Arg	51678
413	Chi	105498
414	Arg	79538
415	Por	114899
416	Por	68814
417	Chi	108793
418	Arg	88435
419	Arg	129501
420	Chi	80654
421	Bra	54242
422	Chi	79592
423	Bra	40234
424	Arg	132463
425	Arg	44328
426	Chi	135984
427	Arg	75488
428	Por	62423
429	Chi	83827
430	Chi	46552
431	Chi	62095
432	Arg	115164
433	Bra	79317
434	Arg	26859
435	Por	15963
436	Por	57620
437	Chi	59731
438	Chi	96717
439	Por	107013
440	Bra	137234
441	Bra	75022
442	Chi	113005
443	Chi	70084
444	Chi	106554
445	Chi	50990
446	Por	110152
447	Chi	133780
448	Chi	102734
449	Por	115974
450	Bra	80586
451	Bra	89594
452	Por	98734
453	Chi	69836
454	Chi	32892
455	Por	24820
456	Por	32438
457	Por	98463
458	Por	67725
459	Bra	89743
460	Bra	132209
461	Bra	56963
462	Chi	65736
463	Bra	83360
464	Por	47704
465	Chi	116322
466	Bra	41347
467	Bra	40140
468	Chi	65871
469	Chi	62324
470	Chi	1340
471	Por	37546
472	Por	84576
473	Chi	37724
474	Por	12918
475	Arg	137316
476	Chi	72698
477	Bra	101682
478	Bra	109240
479	Arg	67033
480	Bra	25909
481	Bra	11701
482	Arg	87053
483	Chi	116338
484	Bra	75051
485	Bra	7503
486	Bra	40093
487	Arg	99986
488	Bra	139725
489	Arg	73614
490	Por	60894
491	Arg	139528
492	Por	130010
493	Chi	56799
494	Chi	39380
495	Arg	24887
496	Arg	56597
497	Chi	314
498	Arg	103051
499	Bra	118135
500	Chi	80218
501	Chi	89303
502	Por	37059
503	Chi	415
504	Por	33145
505	Arg	123480
506	Chi	28753
507	Chi	60772
508	Bra	93288
509	Bra	68370
510	Bra	39396
511	Por	106364
512	Por	101117
513	Por	115289
514	Chi	30169
515	Chi	76485
516	Arg	28775
517	Chi	16612
518	Arg	68115
519	Arg	22695
520	Bra	56872
521	Bra	129325
522	Bra	68747
523	Arg	69859
524	Chi	66006
525	Por	95022
526	Bra	19200
527	Arg	94652
528	Chi	55321
529	Bra	80616
530	Por	89960
531	Chi	69263
532	Chi	6534
533	Arg	132426
534	Arg	442
535	Arg	95583
536	Arg	83953
537	Por	118416
538	Arg	71506
539	Bra	8266
540	Por	8578
541	Chi	107868
542	Arg	66853
543	Por	52063
544	Chi	52057
545	Por	66554
546	Por	129513
547	Bra	134990
548	Por	49667
549	Bra	89298
550	Chi	16737
551	Bra	88026
552	Por	53856
553	Bra	87365
554	Por	107132
555	Chi	105578
556	Chi	56550
557	Bra	83023
558	Bra	18622
559	Arg	16957
560	Por	44185
561	Chi	58842
562	Por	129627
563	Bra	377
564	Arg	10613
565	Arg	73501
566	Chi	106884
567	Chi	84752
568	Arg	41709
569	Por	83623
570	Arg	127218
571	Arg	42475
572	Por	109097
573	Chi	10085
574	Por	852
575	Bra	33
576	Arg	131397
577	Bra	120367
578	Arg	135240
579	Por	55618
580	Arg	56785
581	Por	107769
582	Bra	95133
583	Bra	81210
584	Por	58070
585	Bra	29852
586	Chi	116543
587	Arg	106484
588	Arg	14463
589	Bra	57026
590	Por	6709
591	Chi	100118
592	Bra	21238
593	Arg	130881
594	Por	122054
595	Arg	65071
596	Arg	88964
597	Arg	78402
598	Por	133926
599	Chi	116631
600	Bra	23916
601	Arg	22832
602	Bra	45449
603	Arg	8560
604	Chi	22023
605	Chi	24056
606	Chi	29217
607	Arg	2952
608	Por	113660
609	Chi	106606
610	Chi	18278
611	Por	847
612	Por	81241
613	Por	85192
614	Por	15045
615	Por	107731
616	Bra	99384
617	Bra	77099
618	Bra	40227
619	Arg	52080
620	Por	124673
621	Arg	35566
622	Por	23210
623	Chi	125095
624	Bra	8851
625	Chi	83640
626	Bra	90310
627	Por	67986
628	Por	127339
629	Por	66096
630	Por	28790
631	Bra	75082
632	Arg	16900
633	Por	24027
634	Por	5512
635	Bra	52958
636	Chi	52953
637	Arg	42236
638	Por	96502
639	Por	28204
640	Por	122222
641	Chi	87232
642	Bra	96990
643	Chi	25918
644	Por	8580
645	Arg	41706
646	Chi	58427
647	Bra	37813
648	Chi	77039
649	Chi	75942
650	Arg	5558
651	Bra	88101
652	Por	74336
653	Bra	76648
654	Por	8070
655	Arg	123878
656	Bra	115499
657	Por	34525
658	Arg	44290
659	Arg	76548
660	Por	47334
661	Bra	102315
662	Por	122881
663	Arg	12485
664	Por	138710
665	Bra	23241
666	Chi	45906
667	Bra	72714
668	Bra	111189
669	Por	18064
670	Chi	16394
671	Chi	22468
672	Bra	54020
673	Arg	53467
674	Bra	139261
675	Chi	112505
676	Por	74697
677	Chi	34590
678	Por	27548
679	Bra	94950
680	Por	117082
681	Chi	93553
682	Por	51660
683	Arg	43724
684	Arg	118045
685	Bra	93267
686	Chi	26525
687	Por	81613
688	Arg	10394
689	Chi	100730
690	Por	83724
691	Chi	43229
692	Por	28840
693	Bra	4530
694	Por	94377
695	Arg	37143
696	Por	119653
697	Arg	120813
698	Chi	87901
699	Bra	113855
700	Chi	56374
701	Bra	127052
702	Arg	72018
703	Por	57743
704	Arg	120660
705	Por	47415
706	Bra	113352
707	Bra	39889
708	Chi	128759
709	Por	39519
710	Chi	79867
711	Arg	19427
712	Arg	56213
713	Chi	56110
714	Por	134103
715	Chi	121203
716	Bra	105711
717	Por	45055
718	Arg	87027
719	Bra	88539
720	Por	38986
721	Por	37784
722	Chi	132071
723	Por	119786
724	Chi	20898
725	Chi	28696
726	Arg	42538
727	Bra	94147
728	Bra	7050
729	Por	117012
730	Arg	97609
731	Arg	131592
732	Bra	134712
733	Bra	75158
734	Chi	92179
735	Arg	89736
736	Arg	44416
737	Por	125683
738	Chi	86526
739	Por	69392
740	Por	33051
741	Por	124270
742	Bra	36808
743	Chi	36539
744	Chi	104883
745	Chi	44702
746	Por	70020
747	Arg	19615
748	Arg	34377
749	Bra	52225
750	Arg	83376
751	Bra	78124
752	Chi	89061
753	Por	131837
754	Por	91986
755	Chi	22600
756	Bra	10343
757	Arg	13827
758	Chi	122923
759	Bra	33049
760	Arg	1814
761	Arg	1135
762	Bra	82042
763	Por	119960
764	Arg	6168
765	Bra	67861
766	Por	77360
767	Por	57614
768	Por	34277
769	Arg	73588
770	Por	66564
771	Arg	64417
772	Por	23323
773	Arg	26118
774	Chi	66270
775	Por	60923
776	Por	124958
777	Por	73596
778	Arg	22851
779	Por	98033
780	Arg	97191
781	Bra	47990
782	Por	84242
783	Bra	116361
784	Bra	76784
785	Bra	3302
786	Arg	111431
787	Bra	63151
788	Chi	112861
789	Bra	126632
790	Arg	20177
791	Arg	129836
792	Bra	10446
793	Arg	68486
794	Bra	38556
795	Por	9775
796	Por	77589
797	Bra	131112
798	Por	31322
799	Arg	93906
800	Chi	109458
801	Por	23012
802	Chi	6967
803	Chi	3952
804	Chi	133849
805	Bra	33612
806	Por	89251
807	Por	80866
808	Por	93629
809	Por	37480
810	Bra	109903
811	Bra	25619
812	Bra	105978
813	Chi	136674
814	Por	10858
815	Chi	19350
816	Arg	111392
817	Arg	116742
818	Chi	26452
819	Arg	90209
820	Arg	29663
821	Arg	15380
822	Chi	84096
823	Bra	122839
824	Chi	8701
825	Chi	20002
826	Bra	16541
827	Por	34323
828	Por	108829
829	Arg	80630
830	Arg	137254
831	Chi	109907
832	Por	35760
833	Chi	103909
834	Arg	85764
835	Por	130123
836	Arg	60091
837	Chi	64804
838	Chi	25969
839	Bra	42312
840	Por	40228
841	Arg	14142
842	Chi	59148
843	Arg	50583
844	Bra	29410
845	Arg	19951
846	Bra	58553
847	Chi	68337
848	Arg	24158
849	Por	21581
850	Por	129056
851	Por	119502
852	Arg	28877
853	Chi	127679
854	Bra	15707
855	Chi	126205
856	Bra	121294
857	Por	132941
858	Por	88357
859	Chi	90195
860	Por	113116
861	Chi	35961
862	Arg	65051
863	Arg	88624
864	Bra	32749
865	Chi	101675
866	Bra	5855
867	Bra	84834
868	Por	105463
869	Por	99644
870	Bra	11869
871	Arg	41496
872	Chi	113516
873	Bra	103815
874	Por	94250
875	Por	18055
876	Bra	31953
877	Chi	99756
878	Arg	94605
879	Bra	33397
880	Arg	80354
881	Arg	16907
882	Por	27925
883	Arg	132981
884	Por	4389
885	Chi	42179
886	Chi	37311
887	Arg	78096
888	Arg	125649
889	Por	56022
890	Chi	59321
891	Bra	110601
892	Por	46617
893	Chi	67944
894	Por	53792
895	Arg	55866
896	Arg	103845
897	Chi	98739
898	Bra	120478
899	Arg	78988
900	Chi	119810
901	Chi	68963
902	Chi	96212
903	Chi	59393
904	Por	78954
905	Por	127444
906	Arg	31460
907	Chi	109060
908	Bra	13625
909	Por	98956
910	Bra	132675
911	Bra	21538
912	Chi	113355
913	Bra	7051
914	Bra	78134
915	Bra	134152
916	Por	46619
917	Por	51409
918	Arg	72250
919	Arg	84591
920	Chi	113575
921	Arg	727
922	Arg	57055
923	Por	64918
924	Chi	108961
925	Chi	104704
926	Chi	126185
927	Chi	133879
928	Chi	47060
929	Chi	6456
930	Por	19969
931	Por	34720
932	Chi	83551
933	Bra	121270
934	Bra	49840
935	Arg	50537
936	Bra	31375
937	Por	38549
938	Chi	20450
939	Por	119620
940	Chi	111336
941	Chi	137086
942	Arg	103772
943	Por	73215
944	Arg	8793
945	Bra	103540
946	Bra	51055
947	Por	43796
948	Bra	77035
949	Por	46299
950	Por	2031
951	Bra	37231
952	Por	63461
953	Chi	26311
954	Bra	31161
955	Por	16832
956	Por	51454
957	Chi	16269
958	Chi	78827
959	Arg	129916
960	Chi	120127
961	Por	48875
962	Chi	68969
963	Por	61877
964	Por	93981
965	Por	59385
966	Arg	111482
967	Por	91174
968	Por	70025
969	Por	31486
970	Por	20777
971	Chi	98130
972	Bra	1067
973	Bra	103962
974	Chi	56243
975	Bra	19941
976	Chi	118845
977	Bra	18265
978	Bra	10014
979	Chi	52649
980	Bra	120943
981	Bra	127170
982	Chi	48424
983	Arg	389
984	Por	35337
985	Arg	78215
986	Chi	70417
987	Chi	64347
988	Chi	119387
989	Bra	20221
990	Por	2858
991	Por	60174
992	Bra	51656
993	Por	39503
994	Chi	98266
995	Bra	62481
996	Bra	99958
997	Arg	108393
998	Por	15294
999	Arg	118376
1000	Chi	20355
1001	Arg	108513
1002	Por	58740
1003	Por	86772
1004	Por	18414
1005	Arg	120796
1006	Arg	75147
1007	Arg	18322
1008	Bra	54465
1009	Por	70543
1010	Arg	92919
1011	Arg	17936
1012	Arg	17951
1013	Bra	38867
1014	Arg	131343
1015	Arg	77517
1016	Chi	43476
1017	Bra	137123
1018	Chi	65897
1019	Por	99345
1020	Bra	49844
1021	Bra	61311
1022	Por	82177
1023	Chi	96200
1024	Bra	128802
1025	Bra	137925
1026	Arg	131736
1027	Por	4631
1028	Chi	104181
1029	Por	138826
1030	Por	88018
1031	Chi	5448
1032	Bra	100730
1033	Arg	117536
1034	Bra	105672
1035	Bra	88916
1036	Bra	53364
1037	Por	83066
1038	Bra	108433
1039	Bra	33589
1040	Chi	44071
1041	Chi	113659
1042	Arg	30990
1043	Por	127857
1044	Bra	9681
1045	Bra	68573
1046	Bra	53713
1047	Bra	33484
1048	Arg	57812
1049	Bra	7351
1050	Bra	79534
1051	Por	21191
1052	Bra	113840
1053	Por	50161
1054	Chi	1463
1055	Bra	33881
1056	Por	104912
1057	Por	127155
1058	Por	125016
1059	Arg	122288
1060	Por	10349
1061	Bra	63470
1062	Arg	24178
1063	Chi	63852
1064	Bra	108462
1065	Chi	96993
1066	Bra	72983
1067	Arg	89795
1068	Bra	79656
1069	Chi	118686
1070	Por	99580
1071	Chi	26995
1072	Bra	95964
1073	Chi	98899
1074	Arg	117185
1075	Chi	56788
1076	Chi	74326
1077	Chi	77154
1078	Chi	79656
1079	Por	22761
1080	Por	77985
1081	Arg	77160
1082	Chi	106193
1083	Chi	29567
1084	Bra	45067
1085	Arg	132059
1086	Por	82894
1087	Bra	91610
1088	Chi	51946
1089	Chi	132730
1090	Arg	60043
